item_type,years_used,condition,description,image_damage,condition_score,green_points,output,image_path
Plastic Toys,4,Working,"Sound working, light partially functioning",Moderate,0.56,66,Refurbish and Resell,images/plastictoys_working_moderate_4yrs.jpg
Plastic Toys,4,Repairable,"Sound working, light partially functioning",High,0.05,23,Salvage Components,images/plastictoys_repairable_high_4yrs.jpg
Plastic Toys,4,Dead,"Sound working, light partially functioning",High,0.05,23,Recycle,images/plastictoys_dead_high_4yrs.jpg
Plastic Toys,5,Dead,"Sound working, light partially functioning",High,0.05,23,Recycle,images/plastictoys_dead_high_5yrs.jpg
Shoes,1,Working,"Soles intact, minor creases",Low,0.95,99,Refurbish and Resell,images/shoes_working_low_1yrs.jpg
Shoes,3,Working,"Soles intact, minor creases",High,0.24,34,Refurbish and Resell,images/shoes_working_high_3yrs.jpg
Shoes,2,Repairable,"Soles intact, minor creases",Moderate,0.37,61,Salvage Components,images/shoes_repairable_moderate_2yrs.jpg
Shoes,5,Dead,"Soles intact, minor creases",Low,0.33,39,Salvage Components,images/shoes_dead_low_5yrs.jpg
Shoes,5,Dead,"Soles intact, minor creases",High,0.05,23,Recycle,images/shoes_dead_high_5yrs.jpg
Headphones,5,Working,"Right speaker is weak, slight crack on headband",Low,0.83,96,Refurbish and Resell,images/headphones_working_low_5yrs.jpg
Headphones,5,Working,"Right speaker is weak, slight crack on headband",Moderate,0.53,66,Refurbish and Resell,images/headphones_working_moderate_5yrs.jpg
Headphones,5,Repairable,"Right speaker is weak, slight crack on headband",High,0.05,23,Salvage Components,images/headphones_repairable_high_5yrs.jpg
Headphones,4,Dead,"Right speaker is weak, slight crack on headband",Moderate,0.06,51,Recycle,images/headphones_dead_moderate_4yrs.jpg
Headphones,5,Dead,"Right speaker is weak, slight crack on headband",High,0.05,23,Recycle,images/headphones_dead_high_5yrs.jpg
